tconst,genre_id
tt0021739,21
tt0021746,9
tt0021746,28
tt0021749,6
tt0021749,9
tt0021749,21
tt0021814,9
tt0021814,11
tt0021814,15
tt0021815,9
tt0021815,11
tt0021815,15
tt0021884,9
tt0021884,15
tt0021884,22
tt0022100,7
tt0022100,18
tt0022100,26
tt0022158,6
tt0022158,10
tt0022158,17
tt0022286,7
tt0022286,9
tt0022458,3
tt0022458,9
tt0022458,21
tt0022599,6
tt0022599,17
tt0022698,9
tt0022718,6
tt0022835,15
tt0022835,22
tt0022879,9
tt0022879,21
tt0022879,27
tt0022913,9
tt0022913,15
tt0022958,9
tt0022958,21
tt0023027,6
tt0023027,10
tt0023027,17
tt0023037,8
tt0023037,23
tt0023042,7
tt0023042,9
tt0023042,12
tt0023238,1
tt0023238,3
tt0023238,15
tt0023245,11
tt0023245,15
tt0023249,7
tt0023249,15
tt0023249,18
tt0023251,6
tt0023251,10
tt0023251,23
tt0023285,7
tt0023285,18
tt0023285,26
tt0023293,3
tt0023293,6
tt0023293,9
tt0023382,6
tt0023382,9
tt0023382,21
tt0023395,6
tt0023395,9
tt0023395,21
tt0023427,1
tt0023427,7
tt0023427,9
tt0023458,3
tt0023458,9
tt0023458,12
tt0023551,1
tt0023551,3
tt0023551,21
tt0023563,7
tt0023563,18
tt0023563,26
tt0023622,6
tt0023622,7
tt0023622,21
tt0023634,6
tt0023634,9
tt0023649,11
tt0023649,15
tt0023694,15
tt0023775,9
tt0023775,21
tt0023876,9
tt0023876,21
tt0023876,27
tt0023940,6
tt0023940,18
tt0023940,21
tt0023948,9
tt0023969,6
tt0023969,17
tt0024028,6
tt0024028,17
tt0024028,21
tt0024034,6
tt0024034,9
tt0024034,17
tt0024069,6
tt0024069,9
tt0024069,17
tt0024184,15
tt0024184,22
tt0024188,15
tt0024188,22
tt0024216,3
tt0024216,15
tt0024240,6
tt0024240,9
tt0024264,9
tt0024264,10
tt0024264,21
tt0024368,15
tt0024368,18
tt0024368,26
tt0024473,5
tt0024473,9
tt0024473,14
tt0024481,5
tt0024481,9
tt0024481,14
tt0024548,6
tt0024548,9
tt0024548,14
tt0024593,3
tt0024593,10
tt0024593,22
tt0024601,6
tt0024601,10
tt0024660,4
tt0024660,6
tt0024660,10
tt0024803,9
tt0024844,3
tt0024844,9
tt0024844,21
tt0024852,6
tt0024852,10
tt0024852,11
tt0024894,7
tt0024894,15
tt0024894,21
tt0024991,5
tt0024991,9
tt0024991,14
tt0025164,6
tt0025164,17
tt0025164,21
tt0025301,6
tt0025301,9
tt0025301,21
tt0025316,6
tt0025316,21
tt0025318,6
tt0025452,7
tt0025452,9
tt0025452,18
tt0025464,7
tt0025464,9
tt0025464,21
tt0025586,9
tt0025586,12
tt0025586,21
tt0025746,9
tt0025746,14
tt0025746,21
tt0025748,3
tt0025748,9
tt0025862,1
tt0025862,3
tt0025862,21
tt0025878,6
tt0025878,7
tt0025878,18
tt0025913,8
tt0025913,14
tt0025919,6
tt0025919,21
tt0026029,7
tt0026029,18
tt0026029,26
tt0026071,9
tt0026071,21
tt0026138,9
tt0026138,15
tt0026138,22
tt0026174,1
tt0026174,3
tt0026174,14
tt0026529,7
tt0026529,9
tt0026663,15
tt0026663,21
tt0026663,22
tt0026685,15
tt0026685,18
tt0026752,3
tt0026752,5
tt0026752,9
tt0026778,6
tt0026778,16
